# word	role
# Built from Princeton WordNet (dictionary + thesaurus).
# roles: who verb what where when how adj link
# Generation (TTS templates) uses core embedded words; this file expands recognition + teaching.
keats	who
keble	who
kelly	who
kelt	who
kesey	who
khama	who
khufu	who
kid	who
kidd	who
kiddy	who
kidnapper	who
kike	who
killer	who
king	who
klee	who
klein	who
klimt	who
kline	who
klutz	who
knight	who
knox	who
knut	who
koch	who
kolam	who
konoe	who
kook	who
korda	who
kp	who
kraut	who
krebs	who
kroto	who
krupp	who
kuhn	who
kurd	who
kyd	who
laban	who
laborer	who
lacer	who
lackey	who
lad	who
lady	who
laird	who
landlord	who
laney	who
lange	who
lasher	who
lass	who
lawman	who
lawyer	who
layman	who
lazar	who
lbj	who
leader	who
leary	who
lech	who
lecher	who
lefty	who
leger	who
legislator	who
lehar	who
leigh	who
lendl	who
lenin	who
leper	who
letch	who
levi	who
lewis	who
liar	who
libby	who
liberal	who
lieutenant	who
lifer	who
lifter	who
limey	who
lin	who
lind	who
linguist	who
lippi	who
listener	who
liszt	who
livy	who
lloyd	who
locke	who
locum	who
loeb	who
loewe	who
loewi	who
logger	who
loner	who
loos	who
lorca	who
loren	who
lorre	who
loser	who
louis	who
lout	who
lover	who
lowry	who
lpn	who
lucas	who
luce	who
lulli	who
lully	who
lulu	who
lummox	who
lunkhead	who
lunt	who
lyly	who
lyricist	who
ma	who
ma'am	who
macer	who
mach	who
madam	who
madman	who
magician	who
magus	who
maha	who
mahan	who
mahdi	who
maid	who
maiden	who
maker	who
malik	who
mama	who
mamet	who
mamma	who
mammy	who
man	who
manager	who
manes	who
manet	who
maniac	who
mann	who
mao	who
marat	who
marks	who
marksman	who
marshal	who
marti	who
martyr	who
marx	who
mary	who
mason	who
masseur	who
master	who
mater	who
matron	who
maven	who
mavin	who
mayer	who
mayor	who
mays	who
mckim	who
me	who
meade	who
meany	who
medic	who
meir	who
melba	who
member	who
mensh	who
mercer	who
merchant	who
messenger	who
metic	who
metis	who
mexican	who
mick	who
miler	who
mills	who
milne	who
mimer	who
miner	who
minister	who
minx	who
miro	who
miser	who
missy	who
mistress	who
mocker	who
