# word	synonyms (comma-separated)
affection	affectionateness,fondness,heart,philia,tenderness,warmheartedness,warmness
affectionate	fond,tender
affectionateness	affection
affiliate	consort
affiliated	connected
affinal	affine
affine	affinal
affinity	kinship
affirm	aver,confirm,corroborate,substantiate,support,sustain
affirmation	avowal
affix	append,stick-on
afflicted	stricken
affluent	wealthy
afford	yield
affray	disturbance,fracas,fray,ruffle
affright	frighten,panic,scare,terror
affront	diss,insult
afghan	paxto
afghani	paxto
afire	ablaze,aflame,aflare,alight,on-fire
afisr	air-force-isr
aflame	ablaze,afire,aflare,aroused
aflare	ablaze,afire,aflame,alight,on-fire
aflaxen	aleve
afloat	adrift,aimless,awash,directionless,flooded,planless,rudderless,undirected
afoot	underway
aforementioned	said
aforesaid	said
afoul	foul,fouled
afp	alpha-fetoprotein,alpha-foetoprotein
afresh	anew
african-millet	ragee,ragi
african-tea	kat,khat,qat,quat
afrikaans	taal
afrikander	boer
afrikaner	boer
afro	afro-hairdo
afro-hairdo	afro
afspc	air-force-space-command
aft	abaft,astern
after	afterward,afterwards,later,later-on,subsequently
after-part	poop
afters	dessert
afterward	after,afterwards,later,later-on,subsequently
afterwards	after,afterward,later,later-on,subsequently
ag	silver
aga	agha
again	once-again,once-more,over-again
agamic	agamogenetic,agamous,apomictic,parthenogenetic
agamid	agamid-lizard
agamid-lizard	agamid
agamogenetic	agamic
agamous	agamic
agape	gaping
agar	agar-agar
agar-agar	agar
agathis-australis	kaury
agave	american-aloe,century-plant
agave-sisalana	sisal
agaze	staring
age	eld,years
aged	cured,elderly,older,senior
agee	james-agee
ageing	aging,senescent
ageism	agism
ageless	eonian,eternal
agency	authority,bureau,federal-agency,government-agency,means,office,way
agenda	docket,schedule
agene	nitrogen-trichloride
agent	broker
aggeus	book-of-haggai,haggai
agglomerate	heap,pile
aggregation	collection
aggregator	collector
aggressively	sharply
aggressor	attacker
agha	aga
aghan	margasivsa
aghast	appalled,dismayed,shocked
agile	nimble,quick,spry
agilely	nimbly
aging	ageing,senescent
agio	agiotage,exchange-premium,premium
agiotage	agio
agism	ageism
agitate	budge,foment,shake,stir-up
agitation	unrest
agleam	gleaming,nitid
aglet	aiglet,aiguilette
aglitter	fulgid,glinting,glittering
aglow	lambent,lucent,luminous
agnail	hangnail
agnate	agnatic,paternal
agnatic	agnate
agnise	realize
agnize	realize
ago	agone
agone	ago
agonus	genus-agonus
agonus-cataphractus	pogge
agony	suffering,torment,torture
agora	public-square
agouti	dasyprocta-aguti
agree	accord,concord,concur,correspond,hold,match
agreed	in-agreement
agreement	arrangement,understanding
agriculturalist	grower
agriculture	farming,usda
agriculture-department	usda
agriculturist	grower
agua	agua-toad,bufo-marinus
agua-toad	agua
aguacate	avocado
ahead	before,in-front,onward
ahem	hem
ahorse	ahorseback
ahorseback	ahorse
ai	artificial-insemination
aiai	al-itihaad-al-islamiya,islamic-unity
aid	assist,assistance,help,tending
aide	adjutant,aide-de-camp
aide-de-camp	aide
aided	assisted
aides	aidoneus,hades,pluto
aidoneus	aides
aiglet	aglet,aiguilette
aigret	aigrette
aigrette	aigret
aiguilette	aglet,aiglet
aiken	conrad-aiken,conrad-potter-aiken
ail	garlic
ailey	alvin-ailey
ailing	indisposed,peaked,poorly,seedy,sickly,under-the-weather,unwell
ailment	complaint,ill
ailurus-fulgens	panda
aim	aspire,design,intent,intention,objective,purpose
aimless	adrift,afloat,directionless,planless,rudderless,undirected
ain	own
aioli	aioli-sauce,garlic-sauce
aioli-sauce	aioli
air	aura,breeze,melody,tune
air-cell	alveolus
air-combat-command	acc
air-current	wind
air-duct	airway
air-embolism	bends
air-force	usaf
air-force-isr	afisr
air-force-space-command	afspc
air-gun	airgun
air-national-guard	ang
air-passage	airway
air-raid-shelter	bombproof
air-rifle	airgun
air-sac	alveolus
aircraft-carrier	carrier
airdock	hangar
airdrome	airport,drome
aire	aire-river,river-aire
aire-river	aire
aired	airy
airgun	air-gun,air-rifle
airheaded	dizzy,giddy
airily	flippantly
airing	ventilation
airless	close,stuffy,unaired
airplane	aeroplane,plane
airplane-pilot	pilot
airport	aerodrome,airdrome,drome
airs	pose
airt	redirect
airway	air-duct,air-passage
airy	aery,aired,ethereal
aisle	gangway
aix	genus-aix
aix-la-chapelle	aken
ajaia	genus-ajaia
ajuga	genus-ajuga
ak	alaska,last-frontier
akaba	al-aqabah,aqaba
akee	ackee
aken	aachen,aix-la-chapelle
akha	hani
akin	kin,kindred
akka	accho,acre,akko
akko	accho,acre,akka
aku	yoruba
al	alabama,aluminum,camellia-state,heart-of-dixie
al-aqabah	akaba,aqaba
al-asifa	fatah
al-faran	hua
al-fatah	fatah
al-iraq	irak,iraq
al-itihaad-al-islamiya	aiai
al-magrib	morocco
al-qa'ida	qaeda
al-qaeda	qaeda
al-qahira	cairo
al-qaida	qaeda
al-qur'an	koran,quran
alabama	al,camellia-state,heart-of-dixie
alan-alexander-milne	milne
alan-paton	paton
alan-stewart-paton	paton
alar	alary,aliform,wing-shaped
alarm	alarum,alert,appal,consternation,dismay
alarum	alarm,alert,warning-signal
alary	alar,aliform,wing-shaped
alas	regrettably,unfortunately,unluckily
alaska	ak,last-frontier
alaskan-brown-bear	kodiak
alate	alated
alated	alate
alauda	genus-alauda
albany	capital-of-new-york
albee	edward-albee,edward-franklin-albeen
albert-bruce-sabin	sabin
albert-camus	camus
albert-sabin	sabin
albert-speer	speer
albizia-lebbeck	siris
albizia-saman	saman,zaman
