# word	role	pos	gloss	definition
# Pointed language depth — POS + short meaning (not word salad)
yid	who	noun	ethnic	(ethnic slur) offensive term for a Jew
yob	who	noun	cruel	a cruel and brutal fellow
abbe	who	noun	french	a French abbot
abel	who	noun	old-testament	(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cai
adam	who	noun	old-testament	(Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race
agee	who	noun	united	United States novelist (1909-1955)
ahab	who	noun	according	according to the Old Testament he was a pagan king of Israel and husband of Jezebel (9th century BC)
aide	who	noun	officer	an officer who acts as military assistant to a more senior officer
alky	who	noun	person	a person who drinks alcohol to excess habitually
amah	who	noun	female	a female domestic
amir	who	noun	independent	an independent ruler or chieftain (especially in Africa or Arabia)
anne	who	noun	queen	Queen of England and Scotland and Ireland; daughter if James II and the last of the Stuart monarchs; in 1707 she was the
aper	who	noun	someone	someone who copies the words or behavior of another
asch	who	noun	united	United States writer (born in Poland) who wrote in Yiddish (1880-1957)
ashe	who	noun	united	United States tennis player who was the first Black to win United States and English singles championships (1943-1993)
aunt	who	noun	sister	the sister of your father or mother; the wife of your uncle
ayah	who	noun	india	(in India) a native nursemaid who looks after children
baas	who	noun	south	South African term for `boss'
babe	who	noun	young	a very young child (birth to 1 year) who has not yet begun to walk or talk
babu	who	noun	hindi	used as a Hindi courtesy title; equivalent to English `Mr'
baby	who	noun	young	a very young child (birth to 1 year) who has not yet begun to walk or talk
bart	who	noun	member	a member of the British order of honor; ranks below a baron but above a knight
baum	who	noun	united	United States writer of children's books (1856-1919)
bawd	who	noun	woman	a woman who engages in sexual intercourse for money
beau	who	noun	man-lover	a man who is the lover of a girl or young woman
beda	who	noun	roman	(Roman Catholic Church) English monk and scholar (672-735)
bede	who	noun	roman	(Roman Catholic Church) English monk and scholar (672-735)
berk	who	noun	stupid	a stupid person who is easy to take advantage of
blok	who	noun	russian	Russian poet (1880-1921)
boer	who	noun	white	a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans
bohr	who	noun	danish	Danish physicist who studied atomic structure and radiations; the Bohr theory of the atom accounted for the spectrum of 
boor	who	noun	crude	a crude uncouth ill-bred person lacking culture or refinement
bose	who	noun	indian	Indian physicist who with Albert Einstein proposed statistical laws based on the indistinguishability of particles; led 
boss	who	noun	person	a person who exercises control over workers
bozo	who	noun	informal	an informal term for a youth or man
buff	who	noun	ardent	an ardent follower and admirer
burk	who	noun	united	United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903)
burt	who	noun	english	English psychologist whose studies of twins were later said to have used fabricated data (1883-1971)
byrd	who	noun	explorer	explorer and United States naval officer; led expeditions to explore Antarctica (1888-1957)
cain	who	noun	old-testament	(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out o
capo	who	noun	head-branch	the head of a branch of an organized crime syndicate
celt	who	noun	member	a member of a European people who once occupied Britain and Spain and Gaul prior to Roman times
cewa	who	noun	member	a member of the Bantu-speaking people of Malawi and eastern Zambia and northern Zimbabwe
ain	adj	adjective	belonging	belonging to or on behalf of a specified person (especially yourself); preceded by a possessive
all	adj	adjective	quantifier	quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
ane	adj	adjective	single	used of a single unit or thing; not two or more
apt	adj	adjective	striking	being of striking appropriateness and pertinence
azo	adj	adjective	relating	relating to or containing the azo radical
bad	adj	adjective	undesirable	having undesirable or negative qualities
big	adj	adjective	above	above average in size or number or quantity or magnitude or extent
ccc	adj	adjective	one-hundred	being one hundred more than two hundred
clv	adj	adjective	five-one	being five more than one hundred fifty
clx	adj	adjective	ten-one	being ten more than one hundred fifty
cod	adj	adjective	payable	payable by the recipient on delivery
coy	adj	adjective	modestly	modestly or warily rejecting approaches or overtures
cxl	adj	adjective	ten-one	being ten more than one hundred thirty
cxv	adj	adjective	five-one	being five more than one hundred ten
cxx	adj	adjective	ten-one	being ten more than one hundred ten
dim	adj	adjective	lacking	lacking in light; not bright or harsh
dry	adj	adjective	free-liquid	free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet
dud	adj	adjective	failing	failing to detonate; especially not charged with an active explosive
due	adj	adjective	owed-payable	owed and payable immediately or on demand
dun	adj	adjective	dull-greyish	of a dull greyish brown to brownish grey color
fab	adj	adjective	extremely	extremely pleasing
fat	adj	adjective	over-abundance	having an (over)abundance of flesh
few	adj	adjective	quantifier	a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number
fey	adj	adjective	suggestive	suggestive of an elf in strangeness and otherworldliness; ; - John Mason Brown
gay	adj	adjective	bright	bright and pleasant; promoting a feeling of cheer
hep	adj	adjective	informed	informed about the latest trends
het	adj	adjective	made-warm	made warm or hot (`het' is a dialectal variant of `heated')
hot	adj	adjective	physical	used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sen
icy	adj	adjective	devoid	devoid of warmth and cordiality; expressive of unfriendliness or disdain
iii	adj	adjective	one-two	being one more than two
ill	adj	adjective	affected	affected by an impairment of normal physical or mental function
ilx	adj	adjective	nine-fifty	being nine more than fifty
ixc	adj	adjective	nine-eighty	being nine more than eighty
ixl	adj	adjective	nine-thirty	being nine more than thirty
kin	adj	adjective	related	related by blood
lao	adj	adjective	relating	of or relating to a member of the Buddhist people inhabiting the Mekong river in Laos and Thailand
lax	adj	adjective	lacking	lacking in rigor or strictness
lee	adj	adjective	towards	towards the side away from the wind
lii	adj	adjective	two-fifty	being two more than fifty
lit	adj	adjective	provided	provided with artificial light
liv	adj	adjective	four-fifty	being four more than fifty
low	adj	adjective	less-normal	less than normal in degree or intensity or amount
lvi	adj	adjective	six-fifty	being six more than fifty
lxi	adj	adjective	one-sixty	being one more than sixty
lxv	adj	adjective	five-sixty	being five more than sixty
lxx	adj	adjective	ten-sixty	being ten more than sixty
mad	adj	adjective	roused	roused to anger; - Mark Twain
mid	adj	adjective	combination	used in combination to denote the middle
mod	adj	adjective	relating	relating to a recently developed fashion or style
mum	adj	adjective	failing	failing to speak or communicate etc when expected to
nee	adj	adjective	meaning	(meaning literally `born') used to indicate the maiden or family name of a married woman
neo	adj	adjective	combining	(used as a combining form) recent or new
net	adj	adjective	remaining	remaining after all deductions
new	adj	adjective	long-duration	not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
nth	adj	adjective	last-greatest	last or greatest in an indefinitely large series
odd	adj	adjective	divisible	not divisible by two
old	adj	adjective	long-duration	of long duration; not new
one	adj	adjective	single	used of a single unit or thing; not two or more
otc	adj	adjective	securities	(of securities) not traded on a stock exchange
own	adj	adjective	belonging	belonging to or on behalf of a specified person (especially yourself); preceded by a possessive
pro	adj	adjective	favor	in favor of (an action or proposal etc.)
raw	adj	adjective	especially	(used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
red	adj	adjective	color	of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or r
rit	adj	adjective	gradually	gradually decreasing in tempo
rum	adj	adjective	beyond	beyond or deviating from the usual or expected
sad	adj	adjective	experiencing	experiencing or showing sorrow or unhappiness; ; - Christina Rossetti
