# word	role	pos	gloss	definition
# Pointed language depth — POS + short meaning (not word salad)
six	adj	adjective	denoting	denoting a quantity consisting of six items or units
sly	adj	adjective	marked	marked by skill in deception
tai	adj	adjective	relating	of or relating to Thailand
ten	adj	adjective	one-nine	being one more than nine
tod	adj	adjective	alone	alone and on your own
two	adj	adjective	one-one	being one more than one
ult	adj	adjective	month	in or of the month preceding the present one
vii	adj	adjective	one-six	being one more than six
wan	adj	adjective	light	(of light) lacking in intensity or brightness; dim or feeble
wee	adj	adjective	informally	(used informally) very small
wet	adj	adjective	covered	covered or soaked with a liquid such as water
won	adj	adjective	subject	not subject to defeat
wry	adj	adjective	humorously	humorously sarcastic or mocking
xci	adj	adjective	one-ninety	being one more than ninety
xcl	adj	adjective	ten-one	being ten more than one hundred eighty
xcv	adj	adjective	five-ninety	being five more than ninety
xii	adj	adjective	denoting	denoting a quantity consisting of 12 items or units
xiv	adj	adjective	one-thirteen	being one more than thirteen
xix	adj	adjective	one-eighteen	being one more than eighteen
xli	adj	adjective	one-forty	being one more than forty
xlv	adj	adjective	five-forty	being five more than forty
xvi	adj	adjective	one-fifteen	being one more than fifteen
xxi	adj	adjective	one-twenty	being one more than twenty
xxv	adj	adjective	five-twenty	being five more than twenty
xxx	adj	adjective	ten-twenty	being ten more than twenty
yon	adj	adjective	distant	distant but within sight (`yon' is dialectal)
able	adj	adjective	usually	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
achy	adj	adjective	causing	causing a dull and steady pain
aery	adj	adjective	characterized	characterized by lightness and insubstantiality; as impalpable or intangible as air; - Thomas Carlyle
aged	adj	adjective	advanced	advanced in years; (`aged' is pronounced as two syllables)
agog	adj	adjective	highly	highly excited
airy	adj	adjective	open-abounding	open to or abounding in fresh air
ajar	adj	adjective	slightly	slightly open
akin	adj	adjective	similar	similar in quality or character
alar	adj	adjective	resembling	having or resembling wings
alto	adj	adjective	musical	(of a musical instrument) second highest member of a group
amok	adj	adjective	frenzied	frenzied as if possessed by a demon
anal	adj	adjective	stage	a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage
anon	adj	adjective	known	having no known name or identity or known source
anti	adj	adjective	favor	not in favor of (an action or proposal etc.)
arco	adj	adjective	instruments	(of instruments in the violin family) to be played with the bow
arid	adj	adjective	lacking	lacking vitality or spirit; lifeless; ; ; -C.J.Rolo
arty	adj	adjective	showily	showily imitative of art or artists
asat	adj	adjective	relating	of or relating to a system to destroy satellites in orbit
ashy	adj	adjective	light	of a light grey
auld	adj	adjective	scottish	a Scottish word
avid	adj	adjective	marked	marked by active interest and enthusiasm
awed	adj	adjective	inspired	inspired by a feeling of fearful wonderment or reverence
awny	adj	adjective	awns-bristlelike	having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses
awol	adj	adjective	absent	absent without permission
awry	adj	adjective	turned	turned or twisted toward one side; - G.K.Chesterton
bald	adj	adjective	lacking	lacking hair on all or most of the scalp
bare	adj	adjective	lacking	lacking in amplitude or quantity
bats	adj	adjective	informal	informal or slang terms for mentally irregular
aft	how	adverb	near-toward	at or near or toward the stern of a ship or tail of an airplane
ago	how	adverb	past	in the past
any	how	adverb	degree	to any degree or extent
bce	how	adverb	period	of the period before the Common Era; preferred by some writers who are not Christians
etc	how	adverb	continuing	continuing in the same way
far	how	adverb	considerable	to a considerable degree; very much
nay	how	adverb	merely	not this merely but also; not only so but
non	how	adverb	negation	negation of a word or group of words
now	how	adverb	times	in these times; - Nancy Mitford
oft	how	adverb	many-times	many times at short intervals
prn	how	adverb	according	according to need (physicians use PRN in writing prescriptions)
sic	how	adverb	intentionally	intentionally so written (used after a printed word or phrase)
viz	how	adverb	follows	as follows
yea	how	adverb	only-but	not only so, but
yet	how	adverb	present	up to the present time
abed	how	adverb	bed	in bed
ably	how	adverb	competence	with competence; in a competent capable manner
afar	how	adverb	old-fashioned	(old-fashioned) at or from or to a great distance; far
alas	how	adverb	bad-luck	by bad luck
alee	how	adverb	toward	on or toward the lee
anew	how	adverb	again	again but in a new or different way
asap	how	adverb	soon-possible	as soon as possible
asea	how	adverb	direction	in the direction of the sea
atop	how	adverb	top	on, to, or at the top
away	how	adverb	particular	from a particular thing or place or position (`forth' is obsolete)
back	how	adverb	toward	in or to or toward a former location
duly	how	adverb	proper	at the proper time
each	how	adverb	every	to or from every one of two or more (considered individually)
ergo	how	adverb	sentence	(used as a sentence connector) therefore or consequently
erst	how	adverb	previous	at a previous time
even	how	adverb	intensive	used as an intensive especially to indicate something unexpected
ever	how	adverb	time	at any time
here	how	adverb	place	in or at this place; where the speaker or writer is
home	how	adverb	direction	at or to or in the direction of one's home or family
ibid	how	adverb	same-place	in the same place (used when citing a reference)
idly	how	adverb	idle-manner	in an idle manner
less	how	adverb	form-comparative	used to form the comparative of some adjectives and adverbs
lief	how	adverb	willing	in a willing manner
none	how	adverb	way	not at all or in no way
once	how	adverb	one-occasion	on one occasion
orad	how	adverb	toward	toward the mouth or oral region
plop	how	adverb	short	with a short hollow thud
plum	how	adverb	exactly	exactly
soon	how	adverb	near-future	in the near future
such	how	adverb	extreme	to so extreme a degree
thus	how	adverb	introduce	(used to introduce a logical conclusion) from that fact or reason or as a result
unco	how	adverb	remarkable	to a remarkable degree or extent
well	how	adverb	often	(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstanda
yeah	how	adverb	only-but	not only so, but
aback	how	adverb	surprise	by surprise
abaft	how	adverb	near-toward	at or near or toward the stern of a ship or tail of an airplane
abeam	how	adverb	right	at right angles to the length of a ship or airplane
above	how	adverb	earlier	at an earlier place
afoot	how	adverb	foot-walking	on foot; walking
after	how	adverb	happening	happening at a time subsequent to a reference time
again	how	adverb	anew	anew
ahead	how	adverb	front	at or in the front
alias	how	adverb	known	as known or named at another time or place
aloft	how	adverb	higher	in the higher atmosphere above the earth
alone	how	adverb	without	without any others being included or involved
along	how	adverb	forward	with a forward motion
aloud	how	adverb	using	using the voice; not silently
amain	how	adverb	your-strength	with all your strength
amply	how	adverb	ample	to an ample degree or in an ample manner
apace	how	adverb	rapid	with rapid movements
apart	how	adverb	separated	separated or at a distance in place or position or time
aptly	how	adverb	competence	with competence; in a competent capable manner
aside	how	adverb	one-side	on or to one side
badly	how	adverb	severe	to a severe or serious degree
below	how	adverb	place	in or to a place that is lower
coyly	how	adverb	coy-manner	in a coy manner
daily	how	adverb	every	every day; without missing a day
dimly	how	adverb	dim-indistinct	in a dim indistinct manner
doggo	how	adverb	quietly	quietly in concealment
dolce	how	adverb	gently	gently and sweetly
drily	how	adverb	dry-laconic	in a dry laconic manner;  he said dryly
dryly	how	adverb	dry-laconic	in a dry laconic manner;  he said dryly
dully	how	adverb	without	without liveliness
fitly	how	adverb	appropriate	in an appropriate manner
forth	how	adverb	particular	from a particular thing or place or position (`forth' is obsolete)
fully	how	adverb	greatest	to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form)
gaily	how	adverb	gay-manner	in a gay manner
gayly	how	adverb	joyous	in a joyous manner
haply	how	adverb	accident	by accident
heaps	how	adverb	much	very much
hence	how	adverb	introduce	(used to introduce a logical conclusion) from that fact or reason or as a result
hotly	how	adverb	heated	in a heated manner
icily	how	adverb	cold-icy	in a cold and icy manner
infra	how	adverb	writing	(in writing) see below
kinda	how	adverb	great	to some (great or small) extent
later	how	adverb	happening	happening at a time subsequent to a reference time
laxly	how	adverb	permissively	in a permissively lenient manner
least	how	adverb	form-superlative	used to form the superlative
madly	how	adverb	uncontrolled	in an uncontrolled manner
maybe	how	adverb	chance	by chance
molto	how	adverb	much	much
needs	how	adverb	manner	in such a manner as could not be otherwise
never	how	adverb	ever-time	not ever; at no time in the past or future
newly	how	adverb	recently	very recently
nobly	how	adverb	noble	in a noble manner
nohow	how	adverb	manner	in no manner; in no way
oddly	how	adverb	manner	in a manner differing from the usual or expected
often	how	adverb	many-times	many times at short intervals
plumb	how	adverb	completely	completely; used as intensifiers
quite	how	adverb	degree	to a degree (not used with a negative)
redly	how	adverb	displaying	displaying a red color; -Adria Langley
sadly	how	adverb	unfortunate	in an unfortunate way
shyly	how	adverb	shy-timid	in a shy or timid or bashful manner
slyly	how	adverb	artful	in an artful manner
still	how	adverb	despite	despite anything to the contrary (usually following a concession)
supra	how	adverb	earlier	at an earlier place
there	how	adverb	place	in or at that place
truly	how	adverb	accordance	in accordance with truth or fact or reality
twice	how	adverb	two-times	two times
wanly	how	adverb	weak-pale	in a weak or pale or languid manner
wryly	how	adverb	wry-manner	in a wry manner
aboard	how	adverb	ship-train	on a ship, train, plane or other vehicle
aborad	how	adverb	away-mouth	away from the mouth or oral region
abroad	how	adverb	foreign	to or in a foreign country
across	how	adverb	opposite	to the opposite side
